Country,Prefix
Belarus,3751511953
Belarus,3751511954
Belarus,3751545200
Belarus,3751720236
Belarus,37515117845
Belarus,3751731122
Belarus,3752122480
Belarus,3752122481
Belarus,3752122482
Belarus,3752122489
Belarus,3752178210
Belarus,3752178214
Belarus,3752178250
Belarus,3752365590
Belarus,3752365593
Belarus,37515119505
Belarus,37515119508
Belarus,37515119579
Belarus,37515119596
Belarus,37515257316
Belarus,37515257328
Belarus,37515257360
Belarus,37515257364
Belarus,37515257365
Belarus,37517202303
Belarus,37517202304
Belarus,37517202305
Belarus,37517202306
Belarus,37517202307
Belarus,37517202308
Belarus,37517202331
Belarus,37517202392
Belarus,37517270843
Belarus,37517311205
Belarus,37517311207
Belarus,37517311216
Belarus,37517311217
Belarus,37517311260
Belarus,37517311261
Belarus,37517311293
Belarus,37517333307
Belarus,37517333326
Belarus,37517333327
Belarus,37517333328
Belarus,37517333353
Belarus,37517333355
Belarus,37517333354
Belarus,37517333356
Belarus,37517333360
Belarus,37517333368
Belarus,37517551103
Belarus,37517551104
Belarus,37517551105
Belarus,37517551106
Belarus,37517551107
Belarus,37517551154
Belarus,37521356300
Belarus,37521356301
Belarus,37521356302
Belarus,37521356307
Belarus,37521356308
Belarus,37521356342
Belarus,37521356352
Belarus,37521356353
Belarus,37521356375
Belarus,37521356387
Belarus,37523512818
Belarus,37523512846
Belarus,37523637126
Belarus,37523637128
Belarus,37523637134
Belarus,37523637156
Belarus,37523655921
Belarus,37523655925
Belarus,37523655926
Belarus,37523655977
Belarus,37523655986
Belarus,37564574477
Belarus,37564574516
Belarus,3.75E+11
Belarus,37564574992
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
Belarus,3.75E+11
 Belarus (Mobile A),37525
Belarus (Mobile A),37529
Belarus (Mobile A),37533
Belarus (Mobile A),375255
Belarus (Mobile A),37544
Belarus (Mobile A),375256
Belarus (Mobile A),375257
Belarus (Mobile A),375259
Belarus (Mobile A),375290
Belarus (Mobile A),375291
Belarus (Mobile A),375292
Belarus (Mobile A),375293
Belarus (Mobile A),375294
Belarus (Mobile A),375295
Belarus (Mobile A),375296
Belarus (Mobile A),375297
Belarus (Mobile A),375298
Belarus (Mobile A),375299
Belarus (Mobile A),3753335
Belarus (Mobile A),37533357
Belarus (Mobile A),3753334
Belarus (Mobile A),37533344
Belarus (Mobile A),375297298
Belarus (Mobile A),3752534546
Belarus (Mobile A),375297299
Belarus (Mobile A),375333440
Belarus (Mobile A),375333441
Belarus (Mobile A),375333442
Belarus (Mobile A),375333443
Belarus (Mobile A),3752541126
Belarus (Mobile A),3752541127
Belarus (Mobile A),3752557008
Belarus (Mobile A),3752910917
Belarus (Mobile A),37525037610
Belarus (Mobile A),3752990151
Belarus (Mobile A),3752990151
Belarus (Mobile A),37525043159
Belarus (Mobile A),37525067362
Belarus (Mobile A),37525069020
Belarus (Mobile A),37525070494
Belarus (Mobile A),37525071680
Belarus (Mobile A),37525080174
Belarus (Mobile A),37525087783
Belarus (Mobile A),37525088249
Belarus (Mobile A),37525091880
Belarus (Mobile A),37525117769
Belarus (Mobile A),37525122453
Belarus (Mobile A),37525125345
Belarus (Mobile A),37525131489
Belarus (Mobile A),37525147938
Belarus (Mobile A),37525149052
Belarus (Mobile A),37525207704
Belarus (Mobile A),37525212854
Belarus (Mobile A),37525218439
Belarus (Mobile A),37525276353
Belarus (Mobile A),37525410890
Belarus (Mobile A),37525410897
Belarus (Mobile A),37525411243
Belarus (Mobile A),37525430232
Belarus (Mobile A),37525430233
Belarus (Mobile A),37525570050
Belarus (Mobile A),37525570110
Belarus (Mobile A),37525570265
Belarus (Mobile A),37525622101
Belarus (Mobile A),37525622206
Belarus (Mobile A),37525622811
Belarus (Mobile A),37525990173
Belarus (Mobile A),37525990177
Belarus (Mobile A),37525990179
Belarus (Mobile A),37529100721
Belarus (Mobile A),37529100725
Belarus (Mobile A),37529137054
Belarus (Mobile A),37529137538
Belarus (Mobile A),37529579317
Belarus (Mobile A),37533397313
Belarus (Mobile A),37533831017
Belarus (Mobile A),37544420320
Belarus (Mobile A),37544994334
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),37544994493
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Mobile A),3.75E+11
Belarus (Telematic Service),375602
Belize,501
Belize,5011
Belize,5012
Belize,5016
Belize,50120
Belize,50122
Belize,50123
Belize,50124
Belize,50130
Belize,50132
Belize,50133
Belize,50134
Belize,50140
Belize,50142
Belize,50143
Belize,50144
Belize,50150
Belize,50152
Belize,50153
Belize,50154
Belize,50170
Belize,50172
Belize,50173
Belize,50174
Belize,50180
Belize,50182
Belize,50183
Belize,50184
Belize (Mobile A),50160
Belize (Mobile A),50161
Belize (Mobile A),50162
Belize (Mobile A),50163
Belize (Mobile B) Speednet,50164
Belize (Mobile B) Speednet,50165
Belize (Mobile B) Speednet,50166
Belize (Mobile B) Speednet,50167
Belize (Mobile B) Speednet,50168
Belize (Mobile B) Speednet,501650
Belize (Mobile B) Speednet,501651
Belize (Mobile B) Speednet,501652
Belize (Mobile B) Speednet,501653
Belize (Mobile B) Speednet,501654
Belize (Mobile B) Speednet,501655
Belize (Speednet),50126
Belize (Speednet),50128
Belize (Speednet),50136
Belize (Speednet),50138
Belize (Speednet),50146
Belize (Speednet),50148
Belize (Speednet),50156
Belize (Speednet),50158
Belize (Speednet),50176
Belize (Speednet),50178
Belize (Speednet),50186
Belize (Speednet),50188
Benin,229
Benin,2296
Benin (Mobile A),2299
Benin (Mobile A),22963
Benin (Mobile A),22964
Benin (Mobile A),22965
Benin (Mobile A),22968
Benin (Mobile A),22992
Benin (Mobile A),22993
Benin (Mobile A),22994
Benin (Mobile A),22995
Benin (Mobile A),22998
Benin (Mobile A),22999
Benin (Mobile A),2299229
Benin (Mobile A),2299800043
Benin (Mobile A),22968174685
Benin (Mobile A),22968729610
Benin (Mobile A),22968729611
Benin (Mobile B) MTN,22960
Bosnia-Herzegovina,38767
Bosnia-Herzegovina (Mobile A) BH Telecom,38761
Bosnia-Herzegovina (Mobile A) BH Telecom,38762
Bosnia-Herzegovina (Mobile A) BH Telecom,3876030
Bosnia-Herzegovina (Mobile A) BH Telecom,3876031
Bosnia-Herzegovina (Mobile A) BH Telecom,3876032
Bosnia-Herzegovina (Mobile A) BH Telecom,3876033
Bosnia-Herzegovina (Mobile A) BH Telecom,3876034
Bosnia-Herzegovina (Mobile A) BH Telecom,3876035
Bosnia-Herzegovina (Mobile A) BH Telecom,3876037
Bosnia-Herzegovina (Mobile A) BH Telecom,3876038
Bosnia-Herzegovina (Mobile A) BH Telecom,3876039
Bosnia-Herzegovina (Mobile A) BH Telecom,38760360
Bosnia-Herzegovina (Mobile A) BH Telecom,38760361
Bosnia-Herzegovina (Mobile A) BH Telecom,38760362
Bosnia-Herzegovina (Mobile A) BH Telecom,38760363
Bosnia-Herzegovina (Mobile A) BH Telecom,38760364
Bosnia-Herzegovina (Mobile A) BH Telecom,38760400
Bosnia-Herzegovina (Mobile A) BH Telecom,38760401
Bosnia-Herzegovina (Mobile A) BH Telecom,38760402
Bosnia-Herzegovina (Mobile A) BH Telecom,38760403
Bosnia-Herzegovina (Mobile A) BH Telecom,38760404
Bosnia-Herzegovina (Mobile B) Mobis Telecom,38763
Bosnia-Herzegovina (Mobile B) Mobis Telecom,38765
Bosnia-Herzegovina (Mobile B) Mobis Telecom,38766
Bosnia-Herzegovina (Mobile B) Mobis Telecom,3876711
Bosnia-Herzegovina (Mobile B) Mobis Telecom,3876712
Bosnia-Herzegovina (Mobile B) Mobis Telecom,3876713
Bosnia-Herzegovina (Mobile B) Mobis Telecom,3876717
Botswana,267773
Botswana,267779
Botswana (Mobile A),26771
Botswana (Mobile A),267740
Botswana (Mobile A),267741
Botswana (Mobile A),267742
Botswana (Mobile A),267745
Botswana (Mobile A),267746
Botswana (Mobile A),267747
Botswana (Mobile A),267754
Botswana (Mobile A),267755
Botswana (Mobile A),267756
Botswana (Mobile A),267759
Botswana (Mobile A),267760
Botswana (Mobile A),267761
Botswana (Mobile A),267762
Botswana (Mobile A),267766
Botswana (Mobile A),267767
Botswana (Mobile A),267770
Botswana (Mobile A),267771
Botswana (Mobile A),267776
Botswana (Mobile A),267777
Botswana (Mobile A),267778
Botswana (Mobile C) Orange,26772
Botswana (Mobile C) Orange,267743
Botswana (Mobile C) Orange,267744
Botswana (Mobile C) Orange,267748
Botswana (Mobile C) Orange,267750
Botswana (Mobile C) Orange,267751
Botswana (Mobile C) Orange,267752
Botswana (Mobile C) Orange,267753
Botswana (Mobile C) Orange,267757
Botswana (Mobile C) Orange,267763
Botswana (Mobile C) Orange,267764
Botswana (Mobile C) Orange,267765
Botswana (Mobile C) Orange,267769
Botswana (Mobile C) Orange,267774
Botswana (Mobile C) Orange,267775
Botswana (Mobile C) Orange,2677920
Burkina Faso,22601
Burkina Faso,22602
Burkina Faso,22607
Burkina Faso,22651
Burkina Faso,22652
Burkina Faso,22653
Burkina Faso,22654
Burkina Faso,22655
Burkina Faso,22658
Burkina Faso,22669
Burkina Faso,226690
Burkina Faso,2262065
Burkina Faso,2262066
Burkina Faso,2262465
Burkina Faso,2262466
Burkina Faso,2262565
Burkina Faso,2262566
Burkina Faso,2262567
Burkina Faso (Mobile A),22656
Burkina Faso (Mobile A),22657
Burkina Faso (Mobile A),22660
Burkina Faso (Mobile A),22661
Burkina Faso (Mobile A),22662
Burkina Faso (Mobile A),22663
Burkina Faso (Mobile A),22664
Burkina Faso (Mobile A),22665
Burkina Faso (Mobile A),22666
Burkina Faso (Mobile A),22667
Burkina Faso (Mobile A),22668
Burkina Faso (Mobile A),22670
Burkina Faso (Mobile A),22671
Burkina Faso (Mobile A),22672
Burkina Faso (Mobile A),22673
Burkina Faso (Mobile A),22674
Burkina Faso (Mobile A),22675
Burkina Faso (Mobile A),22676
Burkina Faso (Mobile A),22677
Burkina Faso (Mobile A),22678
Burkina Faso (Mobile A),22679
Burkina Faso (Mobile A),2267872
Burkina Faso (Mobile A),2267873
Burkina Faso (Mobile A),22670203
Burkina Faso (Mobile A),22678712
Burkina Faso (Mobile A),22678713
Burkina Faso (Mobile A),22678714
Burkina Faso (Mobile A),22678715
Burkina Faso (Mobile A),22678716
Burkina Faso (Mobile A),22678717
Burkina Faso (Mobile A),22678718
Burkina Faso (Mobile A),22678719
Burkina Faso (Mobile A),22678740
Burkina Faso (Mobile A),22678741
Burkina Faso (Mobile A),22678742
Burkina Faso (Mobile A),22678743
Burkina Faso (Mobile A),22678744
Burkina Faso (Mobile A),22678745
Burkina Faso (Mobile A),22678746
Burkina Faso (Mobile A),22678711999
Burundi,257
Burundi,2573
Burundi,2576
Burundi,2577
Burundi,25722
Burundi,25729
Burundi,25731
Burundi,25761
Burundi,25768
Burundi,25769
Burundi,25770
Burundi,25771
Burundi,25772
Burundi,25774
Burundi,25775
Burundi,25776
